"feature","01_INACTvsControl","P_01_INACTvsControl","FDR_01_INACTvsControl","01_ACTvsControl","P_01_ACTvsControl","FDR_01_ACTvsControl","01_ACTvsINACT","P_01_ACTvsINACT","FDR_01_ACTvsINACT","01_AA.CTRLvsEA.CTRL","P_01_AA.CTRLvsEA.CTRL","FDR_01_AA.CTRLvsEA.CTRL","01_AA.INACTvsEA.INACT","P_01_AA.INACTvsEA.INACT","FDR_01_AA.INACTvsEA.INACT","01_AA.ACTvsEA.ACT","P_01_AA.ACTvsEA.ACT","FDR_01_AA.ACTvsEA.ACT","01_AA.INACTvsAA.CTRL","P_01_AA.INACTvsAA.CTRL","FDR_01_AA.INACTvsAA.CTRL","01_AA.ACTvsAA.CTRL","P_01_AA.ACTvsAA.CTRL","FDR_01_AA.ACTvsAA.CTRL","01_AA.ACTvsAA.INACT","P_01_AA.ACTvsAA.INACT","FDR_01_AA.ACTvsAA.INACT","01_EA.INACTvsEA.CTRL","P_01_EA.INACTvsEA.CTRL","FDR_01_EA.INACTvsEA.CTRL","01_EA.ACTvsEA.CTRL","P_01_EA.ACTvsEA.CTRL","FDR_01_EA.ACTvsEA.CTRL","01_EA.ACTvsEA.INACT","P_01_EA.ACTvsEA.INACT","FDR_01_EA.ACTvsEA.INACT"
"AC004797.1",0.0226114115310453,0.0023199318189467,0.0105935698132763,-0.0156206745557375,0.179372218651765,0.405947652738206,-0.0249474759819494,0.307521039669591,0.687928457232028,-0.0204511297007041,0.796556716989241,0.951231049507369,0.170875692814422,8.15480955721065e-09,1.85159601617303e-08,-0.14321284630285,0.00166844631926657,0.0432283801283129,0.0496915214642448,0.0227044878555921,0.16782076960302,-0.0537748740529305,0.18036812949836,0.466359202881861,-0.0673007407702446,0.217343559285248,0.543358898213121,0.0122095126454192,0.37979543449595,0.529497550510129,0.0192098427541095,0.638093795495637,0.880340396372671,0.00113127262663543,0.859062545523699,0.9361600573881
"AC079793.1",-0.00679900360963543,0.0486401269699428,0.090271748199449,-0.00767790834401485,0.281941468947059,0.499188376515898,0.00359606497220434,0.623078184989651,0.854323696944572,-0.0181160427035443,0.204368731637021,0.647582807887217,-0.0109236113083792,0.00164522191166932,0.00189799185497161,0.0392884083973153,0.357644009930436,0.637107218211176,-0.00669832434576167,0.150158871688526,0.354885901703385,-0.0093957066068232,0.226640529270918,0.51269168271965,-0.000894704940689821,0.941874534026905,0.968508195408965,-0.00475355331974206,0.445699363949557,0.578942821034626,-0.00692738754228342,0.657807077601242,0.891696858043923,0.0075333466480204,0.76258697002647,0.890021899455248
"AC092652.1",-0.00476642631583393,0.09768525233354,0.152407083501866,-0.0107203293069534,0.0703540532916861,0.245288456071014,-0.000670107165938655,0.391239138008895,0.743919004317817,0.0203404705698375,0.243460668134398,0.669815359739663,0.0985540899767207,2.58741889806873e-10,1.13779174716649e-09,-0.0205786444384037,0.304045433906898,0.589318087628122,-0.00760430833323741,0.663468134098021,0.778495877513417,-0.013936823451403,0.737601690857839,0.875427239033284,0.00049270523829345,0.0569949982310794,0.299973674900418,-0.0016356395025333,0.467201001254468,0.597934712945703,-0.0103386516400445,0.243524361539022,0.608921133775954,0.000114439810444789,0.975514374957209,0.98617567489299
"AC114760.2",0.0233701425247049,0.218273415607402,0.276534364886069,0.0192752875117273,0.279382514929297,0.499188376515898,-7.55357132118661e-05,0.746485411721702,0.922071350150589,-0.0368100122534191,0.162879311370241,0.565614777394704,0.0493943487046706,5.03694178927707e-08,9.39351235647315e-08,-0.0383595698788068,0.33250584012682,0.625658501919591,0.0663618043133847,0.0252514571425143,0.171646289241323,NA,NA,NA,-0.0266868613771028,0.0439671016144275,0.270976522946752,-0.00322026788061867,0.849342098951475,0.882916501622235,0.0123849371187492,0.857403432263366,0.964167712347285,0.0121342855253197,0.433169172847775,0.756605824601032
"AC119396.1",0.0132942934959182,0.000260802969129104,0.00248316434522367,0.0137963266976523,0.0770592448717949,0.263910865180395,-0.00405848882475425,0.444906181081474,0.764045397215275,NA,NA,NA,-0.00668863231458938,0.000237181216224778,0.000287981732040297,0.0454354120295386,0.705293485396845,0.862896056138423,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0140516270428643,0.00308552974548515,0.029792503875851,0.00652217305365075,0.698132362134898,0.915802215820804,-0.0124200079822726,0.0850588882944668,0.455528643472737
"AC120193.1",0.012832914126146,0.0632448868037945,0.109020597712935,-0.0720728762167175,0.146084875945332,0.36592133974656,-0.0796461685502268,0.0108244625143403,0.183186727340187,-0.0340685293335617,0.0592388173413027,0.397949148251857,0.386779633292675,2.22877817150655e-11,1.83509529477307e-10,-0.383578226215047,1.30352303989715e-06,0.000178745596845897,0.0700254142624769,0.342996502441969,0.540791152183505,-0.0123989464234869,0.122428018626343,0.398961235523606,-0.132840666456347,0.0485889154466956,0.281651706392422,-0.00736888722599838,0.453341226213643,0.586320772682974,-0.0780458552212155,0.144955567985266,0.50478096504194,-0.0106981179728948,0.212529956438231,0.61834715736715
"ACTB",0.00970508895391808,0.00848750541927558,0.0261063538165556,0.0309199536789366,0.194896573643978,0.419412761780273,0.0132643250901899,0.48409986246929,0.788458675195957,0.0355596090049365,0.635541658019428,0.922029792471065,0.276864125062307,2.2295550310327e-11,1.83509529477307e-10,0.0113147613895273,0.872870178238983,0.950948752720743,-0.0116560733256295,0.0869419181006307,0.277861670686475,0.0508302136401786,0.381395516183564,0.658599264977779,0.0720936875825584,0.0367396258420511,0.258729759451064,0.030356279678628,0.0414337826969686,0.132376396598674,0.0330394669481899,0.236197121618536,0.607604472002078,-0.0101562411413191,0.868598381273054,0.940912055560602
"ADAM28",0.0249814854200509,0.00692608819068262,0.022443189617885,-0.0124572575509282,0.672598354789035,0.81188517128583,-0.0325770919503003,0.0380243456635273,0.301907014207486,-0.0177386488662839,0.347255617377049,0.766075279351734,0.0138834254875401,3.00957543376634e-12,4.60035102018569e-11,0.173470126788602,0.299764883844486,0.58617126127879,0.0242278833471941,0.0321771499454929,0.180548622530085,-0.0124887622528112,0.69178306517746,0.849218127225278,-0.0545368554017083,0.0219921651605271,0.219344485034497,0.0240210249399207,0.088343924244328,0.213846435009251,-0.00953141932142657,0.906607084340465,0.978171778369423,-0.0138890223410856,0.262758706568229,0.672519011179743
"ADK",-0.00809877939228218,0.0138650492112332,0.0363620356745959,-0.0380207356187512,0.0235922150446063,0.133287404704564,-0.0260104336919224,0.0366758720548477,0.301907014207486,-0.0396029255976292,0.711721774866559,0.951231049507369,-0.0632611147458616,2.96144119633816e-06,4.36315604830545e-06,-0.00992880604276172,0.42410766727507,0.698567734235363,-0.0127419729093661,0.0600963537956576,0.229238510849565,-0.04215148536839,0.00498721806056641,0.0929617446489579,-0.0351399880789392,0.098093579479894,0.386195194802732,0.0135381346054905,0.429546146637513,0.564713466608167,-0.0183671191678405,0.411752418317436,0.76884115351342,-0.0207819636699093,0.143833137088014,0.532604246531885
"AFF3",0.0186475999811242,0.0296334988461857,0.0636082108991374,-0.0111840059547513,0.899601918408417,0.941967055975296,0.0196080373533313,0.0397172349196382,0.301907014207486,0.0359580889416409,0.254631402288152,0.684252959129717,-0.0161231992071538,2.04745490178926e-12,4.03641265067292e-11,-0.00616319234180496,0.998057741594351,0.999996874193867,0.00339778592978851,0.0436909769248197,0.204492890855583,-0.0366262774623846,0.437136963301493,0.695302046955521,-0.0133450867112109,0.32689756124272,0.621570801208885,0.0341229758668333,0.397868831001451,0.539164926168908,0.0251106841513611,0.876676522816889,0.967829433446168,0.0347958283010579,0.0309258991435197,0.349462660321773
"AIF1",-0.0100691500522829,0.02984431994374,0.0638573702923198,-0.00903131135034516,0.0991722332545239,0.301016896231378,NA,NA,NA,0.0167683616026391,0.524529558063737,0.863402730231107,0.0048426482244425,0.338149701461875,0.340536640531018,0.0128580326887905,0.451380576342047,0.717139470956535,-0.0140330428638998,0.0333887063160516,0.180548622530085,-0.0179878926982935,0.175199485421339,0.464799389842739,7.60048753113349e-05,0.335330183125812,0.630319893093632,-0.00845744504617985,0.0577148655109932,0.161934679128529,-0.00562563749275868,0.104088668881157,0.436930342629044,NA,NA,NA
"AKAP13",-0.0217106853145132,0.001988919156591,0.00944036275734037,-0.013540917558668,0.264935910652489,0.485925106267835,0.00456378392128369,0.741844171032993,0.922071350150589,0.107723575671548,0.319891934887042,0.739819866323212,-0.101642172407048,0.000359242025832433,0.00042769287081024,0.0482242183743954,0.429607365319497,0.705062241332732,-0.00104965428106819,0.625726497268961,0.743639781930197,0.00563682149457222,0.813858941141832,0.907316427205966,3.32524740677585e-09,0.86676266403197,0.948074881359799,-0.0341884435316873,0.00254042103475257,0.0272546404839505,-0.0206626133237904,0.141703981829671,0.500847881131264,0.00938717260562277,0.666678370092942,0.863236538728903
"AL050309.1",0.00726334842679137,0.104403675962877,0.159203795472804,0.00355177056030422,0.323508231761128,0.540388265745495,0.000380778271157969,0.642678106799317,0.861944755001436,NA,NA,NA,-0.0459302367474735,0.000340901244074898,0.00040642265310322,0.148322717771785,0.524597905311036,0.756220633542979,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0217672776029554,0.0457293303088502,0.141106796337489,0.00580962937329624,0.864009631708707,0.964167712347285,-0.000858301891401153,0.786422278557565,0.898919088220897
"ANAPC16",0.0181890731843364,0.00293068487713819,0.0121930963406861,0.00574061464452424,0.569421614162288,0.748272206046877,-0.00492771492980573,0.847993999333179,0.954795318924492,0.0553005726327914,0.000288789851173742,0.0301304078057938,-0.00171765136091576,1.37831114288025e-10,6.9402019900323e-10,-0.00324068357161503,0.333477886406925,0.625714437844778,0.0278030154619239,0.137626374111005,0.345948954411868,0.0526968828001854,0.120959499782799,0.398961235523606,0.0060210259114114,0.890965603425861,0.960092245070971,0.0200472095879933,0.0297586921090095,0.108656737154325,-0.0028476549487873,0.517708910733508,0.819705775328055,-0.0104128719782759,0.641035010695882,0.855086621670282
"ANGPTL1",0.0468374089297857,0.11481094794385,0.169969463300732,0.0400311452585063,0.165801555894515,0.39271133166498,-0.0215824859511513,0.585166846538005,0.829586677166523,0.0358008605775204,0.478526883575487,0.849905874651083,1.04073722082961,3.06457332869993e-16,2.62327476936714e-13,-0.215757229280765,6.08615692098438e-08,1.66912853557997e-05,0.0708087562165676,0.468256364995979,0.641986262733618,0.106756236507968,0.0773759694476328,0.336983194042961,-0.093794024230865,0.415428155453552,0.68102976303861,0.0665859188139165,0.0227152351548084,0.0913867562478173,0.0405591439223871,0.29072257516156,0.650137500066014,0.0204813047685988,0.389449766499509,0.736732858012151
"ANKRD11",-0.00943533665025702,0.000855382959529387,0.00554353956464237,0.0142455700330339,0.121261718994993,0.328169826930506,0.0218220296992942,0.000643479246030463,0.0517150067918669,-0.0267205421639896,0.335072632974198,0.759983580586406,-0.0438352767786899,0.0181275952805425,0.0192760516275086,-0.0434877078135853,0.16848908724514,0.437132511396728,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.010521164153951,0.0451262611913634,0.140052574911767,0.027169242554726,0.0281883761082426,0.267789573028305,0.0338451616683665,0.00436964393448075,0.176346344498688
"ANKRD12",-0.0311340829840065,0.000248377660570761,0.00248316434522367,-0.013949523801315,0.336559529715582,0.55022872059364,0.0228392593862664,0.0454418810671447,0.31546592362072,0.0773766709455864,0.294376037193878,0.728377072266275,-0.0861082674196905,0.000138631595393045,0.00017099228480756,-0.0345250912140535,0.720177452473595,0.870633052583045,-0.0174591249762136,0.13115847946284,0.345782328980183,-0.0187269709425285,0.685801445236553,0.849218127225278,0.00380447346941832,0.447483703376562,0.712607413958987,-0.0385343287965576,0.000418698751268417,0.00995473361042474,-0.0104325494482234,0.623628608095869,0.878270198397693,0.0275612219421725,0.0190904760383099,0.321402613087614
"ANKRD44",0.00602237196371772,0.174836878918956,0.230606763975296,-0.00767178146741879,0.812909962928473,0.891207239811103,-0.00928744600729942,0.619616483588639,0.853979194997813,-0.0409733574687325,0.633511467675688,0.922029792471065,-0.0668024079223001,8.57420141287467e-10,2.91250651167489e-09,0.126890432602908,0.234677887690149,0.529994880799233,0.00360715396577438,0.835502665501888,0.886524421819905,-0.00379163045360759,0.752864264858153,0.881674029575642,-0.00210506755216715,0.919291366974757,0.966335948629361,0.00651945769575835,0.284047405900593,0.440018701040712,-0.00758327013813645,0.738916875286564,0.927285024258805,-0.00844315335357337,0.843257870796753,0.926089758713534
